sample_no,date,location,depth,swc,ctot,ntot,ptot,eoc,en,olsenp,cmic,nmic,pmic,bg,nag,ap
FACE_001,2/12/2016,120_I,0-5 ,28.32,,,,1167.40,81.89,1.66,700.55,65.84,5.67,41.75,142.14,8087.37
FACE_002,2/12/2016,120_I,5-15,24.58,,,,671.62,74.57,1.79,966.00,24.06,0.97,6.81,28.05,2326.35
FACE_003,2/12/2016,120_II,0-5 ,34.33,,,,1199.66,76.15,3.89,658.82,78.04,2.08,29.74,63.77,5141.89
FACE_004,2/12/2016,120_II,5-15,12.45,,,,522.82,60.08,2.06,869.91,39.09,,8.56,26.74,1799.93
FACE_005,2/12/2016,120_III,0-5 ,30.04,,,,716.27,136.26,6.80,1489.38,126.15,8.16,64.28,456.76,9739.43
FACE_006,2/12/2016,120_III,5-15,24.89,,,,501.18,76.46,1.81,1153.55,40.98,2.88,10.73,38.76,2583.81
FACE_007,2/12/2016,280_I,0-5 ,26.51,,,,1218.29,82.19,6.00,475.20,71.76,0.40,42.11,90.37,3910.81
FACE_008,2/12/2016,280_I,5-15,18.52,,,,736.17,56.75,1.72,695.77,22.06,1.88,27.76,22.04,2090.31
FACE_009,2/12/2016,280_II,0-5 ,32.65,,,,901.13,90.50,3.00,854.19,70.94,5.39,13.57,32.98,2282.41
FACE_010,2/12/2016,280_II,5-15,35.18,,,,958.72,71.62,1.97,924.34,31.54,,6.61,17.94,1075.19
FACE_011,2/12/2016,280_III,0-5 ,21.85,,,,909.97,99.29,2.04,744.86,44.27,,38.29,66.83,3393.82
FACE_012,2/12/2016,280_III,5-15,25.92,,,,947.97,64.64,1.71,792.91,48.58,3.20,11.46,34.20,2000.44
FACE_013,2/23/2016,40_I,0-5 ,34.62,,,240.64,1334.65,65.11,1.99,197.83,75.17,4.63,35.50,98.31,4555.35
FACE_014,2/23/2016,40_I,5-15,27.06,,,153.41,1287.17,50.84,1.52,,55.82,,9.74,35.21,1839.62
FACE_015,2/23/2016,40_II,0-5 ,32.92,,,202.43,1250.85,83.56,3.23,633.70,77.68,4.66,64.29,334.07,5876.03
FACE_016,2/23/2016,40_II,5-15,25.82,,,159.04,1627.07,50.83,1.40,,61.29,0.07,7.81,24.79,2054.17
FACE_017,2/23/2016,40_III,0-5 ,26.18,,,257.72,1597.01,73.12,1.67,,88.83,1.10,69.90,545.00,5581.51
FACE_018,2/23/2016,40_III,5-15,24.87,,,87.54,1392.10,49.81,1.33,,49.08,3.02,6.39,13.04,1301.18
FACE_019,2/23/2016,200_I,0-5 ,26.65,,,199.07,1249.22,53.19,1.26,,75.17,3.36,29.55,85.20,3207.96
FACE_020,2/23/2016,200_I,5-15,26.19,,,176.56,1339.13,44.54,1.38,,72.10,3.19,10.12,27.13,1416.91
FACE_021,2/23/2016,200_II,0-5 ,31.27,,,176.75,1293.80,68.26,2.10,4.11,95.84,3.18,18.66,170.56,3850.08
FACE_022,2/23/2016,200_II,5-15,24.58,,,178.33,1489.82,49.46,1.28,,59.54,1.06,22.03,56.09,1279.61
FACE_023,2/23/2016,200_III,0-5 ,30.41,,,172.04,1540.63,71.83,1.79,,117.31,7.33,37.42,121.56,4372.91
FACE_024,2/23/2016,200_III,5-15,25.49,,,141.63,1296.02,43.13,1.69,,55.05,0.54,97.33,17.41,2030.44
FACE_025,2/23/2016,360_I,0-5 ,26.36,,,229.61,1326.39,68.22,3.33,268.18,81.14,6.64,67.31,95.71,3936.95
