first_sample_no,date,location,depth,swc,ctot,ntot,ptot,eoc,en,olsenp,cmic,nmic,pmic,bg,nag,ap
FACE_001,2/12/2016,120_I,0-5 ,30.90,8.54,0.48,,1027.78,98.10,4.11,949.59,90.01,5.30,45.25,220.89,7656.23
FACE_002,2/12/2016,120_I,5-15,20.64,5.86,0.37,,565.21,70.37,1.89,996.49,34.71,1.93,8.70,31.18,2236.70
FACE_007,2/12/2016,280_I,0-5 ,27.00,3.98,0.26,,1009.80,90.66,3.68,691.42,62.32,2.89,31.33,63.39,3195.68
FACE_008,2/12/2016,280_I,5-15,26.54,2.44,0.19,,880.95,64.34,1.80,804.34,34.06,2.54,15.27,24.73,1721.98
FACE_013,2/23/2016,40_I,0-5 ,31.24,6.11,0.41,233.60,1394.17,73.93,2.30,415.76,80.56,3.47,56.56,325.79,5337.63
FACE_014,2/23/2016,40_I,5-15,25.91,2.66,0.22,133.33,1435.45,50.49,1.42,,55.40,1.55,7.98,24.34,1731.66
FACE_019,2/23/2016,200_I,0-5 ,29.44,6.55,0.43,182.62,1361.22,64.42,1.71,4.11,96.11,4.62,28.54,125.77,3810.31
FACE_020,2/23/2016,200_I,5-15,25.42,3.01,0.25,165.51,1374.99,45.71,1.45,,62.23,1.60,43.16,33.55,1575.65
FACE_025,2/23/2016,360_I,0-5 ,28.05,2.94,0.25,197.36,1527.33,83.39,2.77,268.18,92.53,17.20,57.69,191.64,4592.66
FACE_026,2/23/2016,360_I,5-15,24.71,7.03,0.45,130.87,1318.97,60.32,1.57,196.90,54.83,2.33,23.84,49.25,2766.14
FACE_043,3/22/2016,40_I,0-5 ,30.22,7.46,0.41,,1175.87,96.11,5.07,263.54,60.31,2.86,34.69,155.80,3728.94
FACE_044,3/22/2016,40_I,5-15,26.22,3.48,0.20,,793.75,70.42,3.87,364.42,45.77,2.97,14.15,43.89,1333.64
FACE_049,3/22/2016,120_I,0-5 ,30.07,4.65,0.28,,909.21,96.57,4.01,582.90,84.14,4.91,56.83,604.57,4797.61
FACE_050,3/22/2016,120_I,5-15,26.45,4.93,0.31,,825.74,70.66,2.98,313.47,46.71,4.71,24.42,108.34,2207.75
FACE_055,3/22/2016,200_I,0-5 ,32.07,5.66,0.32,,1065.02,78.59,3.48,228.62,63.85,5.59,25.91,111.73,4235.67
FACE_056,3/22/2016,200_I,5-15,27.95,3.09,0.21,,862.58,59.27,3.10,276.22,64.10,4.81,73.71,63.97,2584.73
FACE_061,3/22/2016,280_I,0-5 ,29.99,3.73,0.23,,902.59,73.23,2.69,43.45,158.37,7.33,29.80,72.26,2734.17
FACE_062,3/22/2016,280_I,5-15,24.30,2.92,0.19,,872.48,82.69,2.45,225.07,137.33,5.91,25.34,36.58,3371.51
FACE_067,3/22/2016,360_I,0-5 ,28.01,5.10,0.30,,1063.25,72.77,2.49,158.76,162.10,5.62,58.10,167.00,3653.22
FACE_068,3/22/2016,360_I,5-15,26.42,2.88,0.19,,960.40,58.02,2.50,128.22,73.43,11.24,29.07,71.96,2888.63
FACE_073,3/22/2016,440_I,0-5 ,28.14,4.46,0.23,,1042.01,96.82,3.39,,151.93,5.67,34.21,176.03,3808.66
FACE_074,3/22/2016,440_I,5-15,24.55,4.03,0.21,,956.12,65.16,2.33,313.71,79.89,7.25,19.00,67.96,2816.44
FACE_079,4/16/2016,40_I,0-5 ,31.12,6.83,0.41,,,,0.65,,,2.08,64.23,243.62,9685.32
FACE_080,4/16/2016,40_I,5-15,26.34,3.28,0.24,,,,0.47,,,0.90,15.96,96.47,5587.93
FACE_085,4/16/2016,120_I,0-5 ,28.37,6.59,0.40,,,,1.11,,,2.20,53.44,302.45,5460.98
FACE_086,4/16/2016,120_I,5-15,25.48,2.93,0.22,,,,0.55,,,1.14,18.32,60.72,3682.97
FACE_091,4/16/2016,200_I,0-5 ,30.46,6.47,0.39,,,,1.00,,,1.37,59.30,192.95,5613.64
FACE_092,4/16/2016,200_I,5-15,26.27,3.28,0.23,,,,0.57,,,1.70,16.00,34.18,2629.50
FACE_097,4/16/2016,280_I,0-5 ,29.62,4.26,0.30,,,,1.22,,,0.37,22.58,93.38,2966.02
FACE_098,4/16/2016,280_I,5-15,24.68,3.01,0.23,,,,0.75,,,1.07,23.00,55.44,2418.94
FACE_103,4/16/2016,360_I,0-5 ,27.91,5.00,0.33,,,,1.49,,,0.81,41.97,155.30,3009.16
FACE_104,4/16/2016,360_I,5-15,25.77,3.39,0.25,,,,0.93,,,1.28,32.42,71.66,2834.96
FACE_109,4/16/2016,440_I,0-5 ,28.91,7.37,0.40,,,,1.47,,,0.75,46.45,460.18,5430.55
FACE_110,4/16/2016,440_I,5-15,24.70,3.19,0.22,,,,1.57,,,1.85,20.53,61.69,2233.07
FACE_115,5/2/2016,40_I,0-5 ,38.24,8.83,0.50,121.13,2270.01,111.13,3.92,176.24,32.24,0.94,50.76,276.60,3670.44
FACE_116,5/2/2016,40_I,5-15,39.66,2.84,0.22,111.23,2355.97,96.63,1.74,945.78,50.19,1.47,21.02,103.01,2842.35
FACE_121,5/2/2016,120_I,0-5 ,35.46,6.72,0.40,130.68,1632.51,105.45,2.60,905.45,64.01,0.69,41.59,176.16,4136.42
FACE_122,5/2/2016,120_I,5-15,28.69,3.04,0.22,88.83,1648.93,70.34,1.45,986.57,41.10,0.32,21.66,76.28,2538.02
FACE_127,5/2/2016,200_I,0-5 ,39.84,9.08,0.47,165.55,2158.75,94.51,2.86,732.81,58.11,2.28,50.60,215.52,4360.19
FACE_128,5/2/2016,200_I,5-15,26.97,3.25,0.23,125.17,1833.64,55.41,1.25,124.34,64.23,1.23,49.22,51.35,2253.04
FACE_133,5/2/2016,280_I,0-5 ,32.31,5.20,0.34,147.93,1588.05,72.86,2.63,759.92,184.07,1.12,32.54,95.45,2775.24
FACE_134,5/2/2016,280_I,5-15,25.51,2.61,0.20,114.89,1797.06,84.82,1.77,391.31,67.05,0.40,25.61,39.37,2478.88
FACE_139,5/2/2016,360_I,0-5 ,33.31,5.47,0.36,151.23,1498.09,83.12,3.00,1237.31,203.51,2.43,46.02,183.67,3559.77
FACE_140,5/2/2016,360_I,5-15,27.98,2.76,0.21,96.91,1471.33,60.97,1.97,1070.12,102.24,0.98,20.87,67.16,3599.77
FACE_145,5/2/2016,440_I,0-5 ,35.30,8.22,0.46,139.49,1518.59,110.14,2.63,1110.31,218.76,0.93,52.12,289.62,4377.61
FACE_146,5/2/2016,440_I,5-15,26.72,2.53,0.18,89.57,1317.40,67.27,1.80,916.37,107.02,0.10,15.32,66.86,2093.84
FACE_151,6/7/2016,40_I,0-5 ,33.08,6.75,0.42,,,,2.71,,,3.93,81.98,439.38,3623.30
FACE_152,6/7/2016,40_I,5-15,28.43,3.55,0.25,,,,1.52,,,2.85,36.87,169.48,2175.84
FACE_157,6/7/2016,120_I,0-5 ,29.81,5.47,0.35,,,,2.52,,,5.43,103.82,346.48,3830.49
FACE_158,6/7/2016,120_I,5-15,27.74,3.38,0.26,,,,1.77,,,3.28,72.89,189.09,2327.82
FACE_163,6/7/2016,200_I,0-5 ,32.85,5.40,0.36,,,,1.89,,,3.90,43.05,206.71,2544.79
FACE_164,6/7/2016,200_I,5-15,29.77,3.37,0.25,,,,1.49,,,2.58,34.16,70.71,1121.17
FACE_169,6/7/2016,280_I,0-5 ,28.27,3.54,0.28,,,,1.68,,,4.15,36.51,117.31,1348.88
FACE_170,6/7/2016,280_I,5-15,27.23,3.01,0.24,,,,1.87,,,3.23,22.61,54.21,895.53
FACE_175,6/7/2016,360_I,0-5 ,30.26,4.90,0.34,,,,2.08,,,6.17,59.84,246.15,2572.08
FACE_176,6/7/2016,360_I,5-15,28.27,4.04,0.29,,,,1.93,,,2.78,31.40,182.50,1334.36
FACE_181,6/7/2016,440_I,0-5 ,32.22,3.87,0.25,,,,2.10,,,5.19,64.75,360.68,2905.03
FACE_182,6/7/2016,440_I,5-15,28.19,4.11,0.26,,,,1.60,,,3.81,31.02,125.15,1511.92
FACE_207,7/6/2016,40_I,0-5 ,28.47,4.56,0.30,,,,1.55,,,3.50,29.97,116.31,3940.45
FACE_208,7/6/2016,40_I,5-15,25.00,2.37,0.19,,,,1.07,,,2.33,16.84,49.49,2371.98
FACE_213,7/6/2016,120_I,0-5 ,29.32,6.68,0.41,,,,1.96,,,3.93,53.48,309.96,6267.35
FACE_214,7/6/2016,120_I,5-15,26.00,2.41,0.19,,,,1.15,,,2.19,25.05,63.32,3169.50
FACE_219,7/6/2016,200_I,0-5 ,33.07,4.99,0.32,,,,1.68,,,2.93,30.72,127.91,4915.00
FACE_220,7/6/2016,200_I,5-15,27.41,2.46,0.18,,,,1.09,,,2.32,9.99,37.27,2591.05
FACE_225,7/6/2016,280_I,0-5 ,29.77,4.50,0.31,,,,2.25,,,3.82,97.04,139.13,5183.78
FACE_226,7/6/2016,280_I,5-15,25.02,2.06,0.17,,,,1.47,,,2.02,31.62,61.09,3968.35
FACE_231,7/6/2016,360_I,0-5 ,31.48,4.59,0.32,,,,1.86,,,4.91,92.02,231.35,6268.40
FACE_232,7/6/2016,360_I,5-15,27.97,2.14,0.18,,,,1.06,,,2.86,24.59,112.04,4341.47
FACE_237,7/6/2016,440_I,0-5 ,29.27,4.76,0.30,,,,1.54,,,4.29,48.67,328.01,6403.08
FACE_238,7/6/2016,440_I,5-15,26.79,1.71,0.14,,,,1.21,,,2.21,37.42,107.74,3608.89
FACE_243,8/15/2016,40_I,0-5 ,35.85,8.24,0.45,131.67,688.84,147.98,3.05,852.82,47.97,1.42,57.20,309.59,6959.65
FACE_244,8/15/2016,40_I,5-15,26.94,2.69,0.19,104.90,460.08,92.15,0.83,617.23,37.19,0.24,18.31,82.71,4023.90
FACE_249,8/15/2016,120_I,0-5 ,31.39,6.95,0.41,166.39,619.59,138.21,1.05,1034.30,101.74,4.31,63.05,352.85,6584.29
FACE_250,8/15/2016,120_I,5-15,26.54,2.82,0.20,107.79,492.87,97.58,0.90,706.48,53.48,1.44,20.57,77.97,3761.37
FACE_255,8/15/2016,200_I,0-5 ,34.17,7.48,0.44,130.95,608.16,146.90,2.66,890.03,62.70,3.57,52.09,235.83,6220.90
FACE_256,8/15/2016,200_I,5-15,27.84,3.46,0.24,112.49,450.96,98.04,0.61,550.48,34.15,1.47,20.27,51.51,3712.48
FACE_261,8/15/2016,280_I,0-5 ,37.07,5.37,0.35,158.43,574.46,129.78,1.73,822.57,77.55,3.46,69.95,183.50,5223.42
FACE_262,8/15/2016,280_I,5-15,27.05,2.67,0.20,127.69,438.33,96.29,0.43,439.92,34.72,1.32,51.48,66.15,4224.40
FACE_267,8/15/2016,360_I,0-5 ,31.11,6.34,0.39,132.75,514.12,135.56,2.51,797.13,66.93,1.62,80.38,226.07,5687.35
FACE_268,8/15/2016,360_I,5-15,26.76,2.68,0.20,105.62,452.46,104.18,0.41,489.93,42.22,1.22,36.52,94.72,4433.32
FACE_273,8/15/2016,440_I,0-5 ,32.16,7.74,0.41,130.58,563.00,113.37,1.15,884.36,70.80,1.64,46.39,277.59,6521.31
FACE_274,8/15/2016,440_I,5-15,26.15,2.91,0.19,104.18,441.12,86.05,0.27,478.97,38.65,0.84,97.12,145.62,4324.14
FACE_279,9/12/2016,40_I,0-5 ,36.95,5.41,0.35,,,,2.16,,,1.59,57.00,355.60,8388.64
FACE_280,9/12/2016,40_I,5-15,28.90,5.41,0.33,,,,0.65,,,0.09,40.90,112.37,4083.64
FACE_285,9/12/2016,120_I,0-5 ,31.82,7.08,0.44,,,,0.96,,,0.59,63.99,276.47,7270.85
FACE_286,9/12/2016,120_I,5-15,26.52,2.70,0.22,,,,0.56,,,0.22,29.46,107.44,5011.15
FACE_291,9/12/2016,200_I,0-5 ,33.61,6.10,0.38,,,,0.98,,,0.24,64.37,215.03,6651.46
FACE_292,9/12/2016,200_I,5-15,28.72,2.79,0.22,,,,1.34,,,0.04,18.41,76.40,4801.70
FACE_297,9/12/2016,280_I,0-5 ,29.69,4.05,0.29,,,,0.76,,,1.31,52.12,194.39,6945.39
FACE_298,9/12/2016,280_I,5-15,27.60,2.62,0.21,,,,0.59,,,0.11,45.37,90.35,6527.05
FACE_303,9/12/2016,360_I,0-5 ,28.16,4.63,0.33,,,,0.79,,,0.57,60.65,253.92,6649.71
FACE_304,9/12/2016,360_I,5-15,27.43,2.56,0.21,,,,0.56,,,0.46,69.05,271.54,6177.43
FACE_309,9/12/2016,440_I,0-5 ,31.81,5.77,0.35,,,,2.39,,,1.21,46.11,236.78,6665.49
FACE_310,9/12/2016,440_I,5-15,26.22,2.76,0.21,,,,0.94,,,0.20,39.74,207.58,5284.54
FACE_315,10/13/2016,40_I,0-5 ,30.07,5.54,0.36,,,,1.85,,,2.75,50.98,210.86,4068.12
FACE_316,10/13/2016,40_I,5-15,23.12,2.23,0.18,,,,0.91,,,0.85,,,
FACE_321,10/13/2016,120_I,0-5 ,27.95,4.57,0.31,,,,2.04,,,1.57,75.24,204.61,4413.06
